[2026-06-03 21:56:53.725556] 🚀 Smart Auto Monitor Started...
[2026-06-03 21:56:53.726694] 📦 Moved ./.eslintrc.json -> runner/data/.eslintrc.json
[2026-06-03 21:56:53.727164] 📦 Moved ./AI_CHAT\chat_server.py -> runner/python/AI_CHAT\chat_server.py
[2026-06-03 21:56:53.727556] 📦 Moved ./ai-sync-config.json -> runner/data/ai-sync-config.json
[2026-06-03 21:56:53.727955] 📦 Moved ./ai_backup_db.json -> runner/data/ai_backup_db.json
[2026-06-03 21:56:53.728493] 📦 Moved ./ai_backup_network.py -> runner/python/ai_backup_network.py
[2026-06-03 21:56:53.728915] 📦 Moved ./ai_brain_core.py -> runner/python/ai_brain_core.py
[2026-06-03 21:56:53.729329] 📦 Moved ./ai_code_integrity_monitor.py -> runner/python/ai_code_integrity_monitor.py
[2026-06-03 21:56:53.729767] 📦 Moved ./ai_defense_core.py -> runner/python/ai_defense_core.py
[2026-06-03 21:56:53.730165] 📦 Moved ./ai_network_defense.py -> runner/python/ai_network_defense.py
[2026-06-03 21:56:53.730507] 📦 Moved ./ai_powerhub_core.py -> runner/python/ai_powerhub_core.py
[2026-06-03 21:56:53.730816] 📦 Moved ./ai_report.json -> runner/data/ai_report.json
[2026-06-03 21:56:53.731129] 📦 Moved ./ai_self_defense.py -> runner/python/ai_self_defense.py
[2026-06-03 21:56:53.731469] 📦 Moved ./ai_system_monitor.py -> runner/python/ai_system_monitor.py
[2026-06-03 21:56:53.731912] 📦 Moved ./ai_units.json -> runner/data/ai_units.json
[2026-06-03 21:56:53.732412] 📦 Moved ./auto-builder-workflow.js -> runner/node/auto-builder-workflow.js
[2026-06-03 21:56:53.732988] 📦 Moved ./auto_code_manager.py -> runner/python/auto_code_manager.py
[2026-06-03 21:56:53.733356] 📦 Moved ./auto_fix_issues.py -> runner/python/auto_fix_issues.py
[2026-06-03 21:56:53.733692] 📦 Moved ./auto_sync_all.sh -> runner/shell/auto_sync_all.sh
[2026-06-03 21:56:53.734025] 📦 Moved ./bdking_r7_tamanna_ultra.sh -> runner/shell/bdking_r7_tamanna_ultra.sh
